Subject,Item,VerbType,Position,RT,NPPredictability
Subj2,Item11,NonPrefV,NP_1,257.65 ,0.40 
Subj2,Item11,NonPrefV,NP_2,452.98 ,0.40 
Subj2,Item12,AspV,Verb,377.04 ,0.00 
Subj2,Item12,AspV,NP,679.75 ,0.00 
Subj2,Item12,AspV,NP_1,378.41 ,0.00 
Subj2,Item12,AspV,NP_2,424.46 ,0.00 
Subj2,Item13,PrefV,Verb,399.91 ,0.15 
Subj2,Item13,PrefV,NP,989.94 ,0.15 
Subj2,Item13,PrefV,NP_1,468.00 ,0.15 
Subj2,Item13,PrefV,NP_2,510.62 ,0.15 
Subj2,Item14,NonPrefV,Verb,325.81 ,0.15 
Subj2,Item14,NonPrefV,NP,406.48 ,0.15 
Subj2,Item14,NonPrefV,NP_1,355.80 ,0.15 
Subj2,Item14,NonPrefV,NP_2,275.15 ,0.15 
Subj2,Item15,AspV,Verb,220.76 ,0.00 
Subj2,Item15,AspV,NP,369.45 ,0.00 
Subj2,Item15,AspV,NP_1,272.10 ,0.00 
Subj2,Item15,AspV,NP_2,482.73 ,0.00 
Subj2,Item16,PrefV,Verb,298.24 ,0.60 
Subj2,Item16,PrefV,NP,347.55 ,0.60 
Subj2,Item16,PrefV,NP_1,267.55 ,0.60 
Subj2,Item16,PrefV,NP_2,590.24 ,0.60 
Subj2,Item17,NonPrefV,Verb,332.27 ,0.05 
Subj2,Item17,NonPrefV,NP,492.31 ,0.05 
Subj2,Item17,NonPrefV,NP_1,550.37 ,0.05 
Subj2,Item17,NonPrefV,NP_2,1261.64 ,0.05 
Subj2,Item18,AspV,Verb,342.29 ,0.20 
Subj2,Item18,AspV,NP,342.29 ,0.20 
Subj2,Item18,AspV,NP_1,582.29 ,0.20 
Subj2,Item18,AspV,NP_2,348.28 ,0.20 
Subj2,Item19,PrefV,Verb,270.71 ,0.55 
Subj2,Item19,PrefV,NP,465.35 ,0.55 
Subj2,Item19,PrefV,NP_1,220.01 ,0.55 
Subj2,Item19,PrefV,NP_2,320.72 ,0.55 
Subj2,Item20,NonPrefV,Verb,267.88 ,0.25 
Subj2,Item20,NonPrefV,NP,542.55 ,0.25 
Subj2,Item20,NonPrefV,NP_1,518.59 ,0.25 
Subj2,Item20,NonPrefV,NP_2,479.20 ,0.25 
Subj2,Item21,AspV,Verb,335.93 ,0.05 
Subj2,Item21,AspV,NP,463.87 ,0.05 
Subj2,Item21,AspV,NP_1,539.24 ,0.05 
Subj2,Item21,AspV,NP_2,179.25 ,0.05 
Subj2,Item22,PrefV,Verb,257.65 ,0.30 
Subj2,Item22,PrefV,NP,277.03 ,0.30 
Subj2,Item22,PrefV,NP_1,375.68 ,0.30 
Subj2,Item22,PrefV,NP_2,278.37 ,0.30 
Subj2,Item23,NonPrefV,Verb,277.86 ,0.25 
Subj2,Item23,NonPrefV,NP,279.83 ,0.25 
Subj2,Item23,NonPrefV,NP_1,330.55 ,0.25 
Subj2,Item23,NonPrefV,NP_2,347.15 ,0.25 
Subj2,Item24,AspV,Verb,244.21 ,0.00 
Subj2,Item24,AspV,NP,887.56 ,0.00 
Subj2,Item24,AspV,NP_1,625.59 ,0.00 
Subj2,Item24,AspV,NP_2,710.24 ,0.00 
Subj2,Item25,PrefV,Verb,336.85 ,0.85 
Subj2,Item25,PrefV,NP,608.87 ,0.85 
Subj2,Item25,PrefV,NP_1,726.19 ,0.85 
Subj2,Item25,PrefV,NP_2,406.83 ,0.85 
Subj2,Item26,NonPrefV,Verb,324.66 ,0.25 
Subj2,Item26,NonPrefV,NP,757.35 ,0.25 
Subj2,Item26,NonPrefV,NP_1,628.67 ,0.25 
Subj2,Item26,NonPrefV,NP_2,473.48 ,0.25 
Subj2,Item27,AspV,Verb,489.48 ,0.00 
Subj2,Item27,AspV,NP,595.53 ,0.00 
Subj2,Item27,AspV,NP_1,601.54 ,0.00 
Subj2,Item27,AspV,NP_2,334.87 ,0.00 
Subj2,Item28,PrefV,Verb,492.55 ,0.25 
Subj2,Item28,PrefV,NP,374.53 ,0.25 
Subj2,Item28,PrefV,NP_1,389.20 ,0.25 
Subj2,Item28,PrefV,NP_2,499.19 ,0.25 
Subj2,Item29,NonPrefV,Verb,230.64 ,0.40 
Subj2,Item29,NonPrefV,NP,475.35 ,0.40 
Subj2,Item29,NonPrefV,NP_1,645.98 ,0.40 
Subj2,Item29,NonPrefV,NP_2,298.04 ,0.40 
Subj2,Item30,AspV,Verb,605.02 ,0.05 
Subj2,Item30,AspV,NP,338.40 ,0.05 
Subj2,Item30,AspV,NP_1,322.36 ,0.05 
Subj2,Item30,AspV,NP_2,387.05 ,0.05 
Subj2,Item31,PrefV,Verb,634.62 ,0.50 
Subj2,Item31,PrefV,NP,382.60 ,0.50 
Subj2,Item31,PrefV,NP_1,493.28 ,0.50 
Subj2,Item31,PrefV,NP_2,343.24 ,0.50 
Subj2,Item32,NonPrefV,Verb,220.51 ,0.10 
Subj2,Item32,NonPrefV,NP,561.13 ,0.10 
Subj2,Item32,NonPrefV,NP_1,600.43 ,0.10 
Subj2,Item32,NonPrefV,NP_2,413.81 ,0.10 
Subj3,Item1,NonPrefV,Verb,536.83 ,0.05 
Subj3,Item1,NonPrefV,NP,1056.74 ,0.05 
Subj3,Item1,NonPrefV,NP_1,676.14 ,0.05 
Subj3,Item1,NonPrefV,NP_2,582.77 ,0.05 
Subj3,Item2,AspV,Verb,628.64 ,0.05 
Subj3,Item2,AspV,NP,985.42 ,0.05 
Subj3,Item2,AspV,NP_1,992.11 ,0.05 
Subj3,Item2,AspV,NP_2,470.15 ,0.05 
Subj3,Item3,PrefV,Verb,547.26 ,0.20 
Subj3,Item3,PrefV,NP,571.30 ,0.20 
Subj3,Item3,PrefV,NP_1,497.96 ,0.20 
Subj3,Item3,PrefV,NP_2,603.98 ,0.20 
Subj3,Item4,NonPrefV,Verb,528.33 ,0.05 
Subj3,Item4,NonPrefV,NP,552.34 ,0.05 
Subj3,Item4,NonPrefV,NP_1,559.74 ,0.05 
Subj3,Item4,NonPrefV,NP_2,487.02 ,0.05 
Subj3,Item5,AspV,Verb,799.46 ,0.00 
Subj3,Item5,AspV,NP,444.81 ,0.00 
Subj3,Item5,AspV,NP_1,408.91 ,0.00 
Subj3,Item5,AspV,NP_2,358.20 ,0.00 
Subj3,Item6,PrefV,Verb,490.25 ,0.10 
Subj3,Item6,PrefV,NP,500.26 ,0.10 
Subj3,Item6,PrefV,NP_1,478.21 ,0.10 
Subj3,Item6,PrefV,NP_2,408.97 ,0.10 
Subj3,Item7,NonPrefV,Verb,505.73 ,0.10 
Subj3,Item7,NonPrefV,NP,675.07 ,0.10 
Subj3,Item7,NonPrefV,NP_1,581.77 ,0.10 
Subj3,Item7,NonPrefV,NP_2,460.47 ,0.10 
Subj3,Item8,AspV,Verb,523.64 ,0.00 
Subj3,Item8,AspV,NP,948.26 ,0.00 
Subj3,Item8,AspV,NP_1,428.27 ,0.00 
Subj3,Item8,AspV,NP_2,488.98 ,0.00 
Subj3,Item9,PrefV,Verb,777.96 ,0.35 
Subj3,Item9,PrefV,NP,552.62 ,0.35 
Subj3,Item9,PrefV,NP_1,591.98 ,0.35 
Subj3,Item9,PrefV,NP_2,470.01 ,0.35 
Subj3,Item10,NonPrefV,Verb,922.22 ,0.20 
Subj3,Item10,NonPrefV,NP,946.83 ,0.20 
